80.5	0.01	-32.51528773532068
80.5	3.01	-109.41058251161314
96.5	5.01	-109.62216589689606
32.5	8.01	-110.20227778633385
48.5	0.01	-36.18743077188654
88.5	0.01	-31.96235536951037
0.5	5.01	-126.14122663556267
24.5	1.01	-86.89781097512478
48.5	6.01	-109.91978866735998
32.5	7.01	-110.20227778577035
56.5	7.01	-109.83644310541199
80.5	6.01	-109.68297923363416
8.5	7.01	-112.26271025481438
88.5	5.01	-109.6498490939566
24.5	2.01	-106.33190703669081
16.5	0.01	-48.84249942118273
56.5	1.01	-86.5936943415417
24.5	7.01	-110.47147373548455
40.5	2.01	-106.00831248429154
96.5	7.01	-109.62225347930199
80.5	0.01	-32.51528773532068
40.5	3.01	-109.75090046133528
80.5	8.01	-109.68297959068924
48.5	5.01	-109.91969826289848
48.5	3.01	-109.63969389116683
24.5	4.01	-110.46272476299333
56.5	2.01	-105.86375238071919
16.5	1.01	-87.15121922796877
64.5	9.01	-109.77286636023395
72.5	7.01	-109.72310518542908
88.5	9.01	-109.64993698066789
0.5	9.01	-126.14134246645972
88.5	3.01	-109.37861625322135
80.5	2.01	-105.75299363733753
72.5	3.01	-109.44941095222308
88.5	6.01	-109.64993662507077
32.5	5.01	-110.20218416790686
64.5	0.01	-33.96636100003501
0.5	0.01	-119.0728720675825
56.5	9.01	-109.83644310595345
16.5	0.01	-48.84249942118273
0.5	4.01	-126.13080898770043
64.5	5.01	-109.77277714475512
96.5	8.01	-109.6222534798292
88.5	7.01	-109.64993698013855
16.5	2.01	-106.71474498037203
40.5	0.01	-37.8154839195022
72.5	8.01	-109.72310518596288
0.5	8.01	-126.14134246645934
88.5	4.01	-109.64194235895502
32.5	9.01	-110.20227778633418
8.5	5.01	-112.26259992988058
48.5	4.01	-109.91153233507004
48.5	8.01	-109.91978903463016
72.5	2.01	-105.7819063330474
32.5	6.01	-110.20227740754558
8.5	9.01	-112.26271025547885
64.5	4.01	-109.7647510336649
24.5	0.01	-43.361478182643644
96.5	9.01	-109.62225347982948
96.5	0.01	-31.49043731911153
64.5	2.01	-105.81785180899041
72.5	1.01	-86.541397938749
64.5	6.01	-109.7728659992604
80.5	1.01	-86.52298023230875
48.5	0.01	-36.18743077188655
0.5	2.01	-121.49535161808015
24.5	5.01	-110.47137754563587
56.5	5.01	-109.8363532044951
64.5	8.01	-109.77286636023368
8.5	6.01	-112.26270980909081
56.5	8.01	-109.83644310595315
32.5	3.01	-109.91376851175689
16.5	5.01	-110.9746545396069
88.5	2.01	-105.7292334032663
48.5	2.01	-105.92441060633251
64.5	1.01	-86.56433667329694
24.5	8.01	-110.47147373606353
48.5	7.01	-109.91978903408373
32.5	0.01	-40.055220795080174
40.5	0.01	-37.815483919502185
48.5	9.01	-109.91978903463043
32.5	1.01	-86.76675902057701
0.5	0.01	-119.0728720675825
72.5	6.01	-109.72310482714997
40.5	1.01	-86.68663616499644
48.5	1.01	-86.63260426825033
96.5	0.01	-31.490437319111535
88.5	0.01	-31.96235536951037
80.5	4.01	-109.67495223232251
16.5	3.01	-110.66529527629532
80.5	5.01	-109.6828913435969
24.5	3.01	-110.17535150341463
96.5	4.01	-109.61428645280573
56.5	3.01	-109.55891769038351
72.5	9.01	-109.72310518596322
96.5	6.01	-109.62225312546141
96.5	3.01	-109.35184027699228
8.5	0.01	-60.3221685462196
64.5	7.01	-109.77286635969664
56.5	6.01	-109.83644274220423
72.5	4.01	-109.71503836344962
8.5	2.01	-107.7322993972582
72.5	0.01	-33.17232669959034
16.5	6.01	-110.97475479877129
16.5	7.01	-110.97475520547091
64.5	0.01	-33.96636100003501
0.5	6.01	-126.14134199779639
0.5	1.01	-100.74237096352388
16.5	4.01	-110.96559956605523
24.5	6.01	-110.47147334686862
40.5	4.01	-110.02610215024767
32.5	4.01	-110.19376247765491
0.5	3.01	-125.78691476881212
56.5	0.01	-34.94613841414376
40.5	5.01	-110.0343735987982
96.5	2.01	-105.70936084473355
72.5	0.01	-33.17232669959036
8.5	8.01	-112.2627102554785
24.5	9.01	-110.47147373606394
40.5	7.01	-110.03446554446273
40.5	9.01	-110.0344655450165
96.5	1.01	-86.49524152836364
0.5	7.01	-126.14134246576211
8.5	0.01	-60.3221685462196
40.5	6.01	-110.03446517299389
80.5	9.01	-109.68297959068957
32.5	2.01	-106.13200065450575
8.5	4.01	-112.25267696001575
56.5	0.01	-34.94613841414376
8.5	3.01	-111.92458378262363
8.5	1.01	-87.84989879883558
64.5	3.01	-109.49757839831344
32.5	0.01	-40.05522079508018
40.5	8.01	-110.03446554501612
16.5	9.01	-110.97475520607726
80.5	7.01	-109.6829795901581
16.5	8.01	-110.9747552060769
24.5	0.01	-43.36147818264366
56.5	4.01	-109.82826546431457
88.5	1.01	-86.5078667817489
72.5	5.01	-109.7230165044327
88.5	8.01	-109.64993698066765
